id,Longitude,Latitude,Altitude,VelocityX,VelocityY,VelocityZ,Wifi1,Wifi2,Wifi3,Wifi4,Wifi5,Wifi6,Wifi7,Wifi8,DroneHeading,Battery,Voltage,Current,Date,Method
207,151.227653695344,-33.9308730757928,9.89999961853027,-1.39999997615814,4.5,0.0,-95,-102,-100,-101,-101,-96,-101,-108,86.9,91,15618,-11151,"2016-10-19 14:08:56.623",1.0
208,151.227657835655,-33.9308751810273,9.89999961853027,-1.5,4.5,0.0,-95,-102,-100,-101,-101,-96,-101,-108,86.9,91,15618,-11151,"2016-10-19 14:08:56.723",1.0
209,151.227662846108,-33.930876519162,9.80000019073486,-1.39999997615814,4.59999990463257,0.0,-95,-102,-100,-101,-101,-96,-101,-108,86.8,91,15618,-11151,"2016-10-19 14:08:56.823",1.0
210,151.22766795353,-33.9308781873878,9.89999961853027,-1.29999995231628,4.59999990463257,0.0,-95,-102,-100,-101,-101,-96,-101,-108,87.0,91,15720,-11811,"2016-10-19 14:08:56.923",1.0
211,151.227673011112,-33.9308793293136,9.89999961853027,-1.10000002384186,4.59999990463257,0.0,-95,-102,-100,-101,-101,-96,-101,-108,87.4,91,15720,-11811,"2016-10-19 14:08:57.024",1.0
212,151.227677934323,-33.9308808296153,9.80000019073486,-0.800000011920929,4.59999990463257,0.0,-95,-102,-100,-101,-101,-96,-101,-108,87.3,91,15720,-11811,"2016-10-19 14:08:57.124",1.0
213,151.22768293887,-33.9308813815401,9.80000019073486,-0.300000011920929,4.5,-0.100000001490116,-95,-102,-100,-101,-101,-96,-101,-108,87.1,91,15720,-11811,"2016-10-19 14:08:57.224",1.0
214,151.227688166378,-33.9308817067564,9.89999961853027,0.0,4.5,-0.100000001490116,-95,-102,-100,-101,-101,-96,-101,-108,87.2,91,15720,-11811,"2016-10-19 14:08:57.324",1.0
215,151.227693119104,-33.9308819042958,9.89999961853027,0.5,4.5,0.0,-98,-101,-100,-101,-90,-97,-102,-108,87.2,91,15720,-11811,"2016-10-19 14:08:57.429",1.0
216,151.227698475242,-33.9308811974536,9.89999961853027,0.800000011920929,4.5,-0.100000001490116,-98,-101,-100,-101,-90,-97,-102,-108,87.2,91,15720,-11811,"2016-10-19 14:08:57.525",1.0
