id,Longitude,Latitude,Altitude,VelocityX,VelocityY,VelocityZ,Wifi1,Wifi2,Wifi3,Wifi4,Wifi5,Wifi6,Wifi7,Wifi8,DroneHeading,Battery,Voltage,Current,Date,Method
18865,151.228715182499,-33.9315615855944,9.80000019073486,0.0,0.0,0.0,-82,-100,-97,-102,-95,-93,-102,-108,120.6,34,14520,-10232,"2016-09-19 14:39:13.463","yaw 50 final4"
18866,151.228715128836,-33.9315616166046,9.80000019073486,0.0,0.0,0.0,-82,-100,-97,-102,-95,-93,-102,-108,120.6,34,14520,-10232,"2016-09-19 14:39:13.531","yaw 50 final4"
18867,151.228715128836,-33.9315616166046,9.80000019073486,0.0,0.0,0.0,-82,-100,-97,-102,-95,-93,-102,-108,120.6,34,14520,-10232,"2016-09-19 14:39:13.561","yaw 50 final4"
18868,151.228714979286,-33.9315615488104,9.80000019073486,0.0,0.0,-0.100000001490116,-82,-100,-97,-102,-95,-93,-102,-108,120.5,33,14496,-10993,"2016-09-19 14:39:13.632","yaw 50 final4"
18869,151.228714979286,-33.9315615488104,9.80000019073486,0.0,0.0,-0.100000001490116,-82,-100,-97,-102,-95,-93,-102,-108,120.5,33,14496,-10993,"2016-09-19 14:39:13.662","yaw 50 final4"
18870,151.228714985209,-33.9315615137948,9.80000019073486,0.0,0.0,0.0,-82,-100,-97,-102,-95,-93,-102,-108,120.6,33,14496,-10993,"2016-09-19 14:39:13.732","yaw 50 final4"
18871,151.228714985209,-33.9315615137948,9.80000019073486,0.0,0.0,0.0,-82,-100,-97,-102,-95,-93,-102,-108,120.6,33,14496,-10993,"2016-09-19 14:39:13.763","yaw 50 final4"
18872,151.228714693039,-33.9315616215317,9.80000019073486,0.0,-0.100000001490116,-0.100000001490116,-82,-100,-97,-102,-95,-93,-102,-108,120.5,33,14496,-10993,"2016-09-19 14:39:13.832","yaw 50 final4"
18873,151.228714693039,-33.9315616215317,9.80000019073486,0.0,-0.100000001490116,-0.100000001490116,-82,-100,-97,-102,-95,-93,-102,-108,120.5,33,14496,-10993,"2016-09-19 14:39:13.864","yaw 50 final4"
18874,151.228714424202,-33.9315615229788,9.80000019073486,-0.100000001490116,-0.100000001490116,-0.100000001490116,-82,-100,-97,-102,-95,-93,-102,-108,120.5,33,14496,-10993,"2016-09-19 14:39:13.947","yaw 50 final4"
18875,151.228714424202,-33.9315615229788,9.80000019073486,-0.100000001490116,-0.100000001490116,-0.100000001490116,-82,-100,-97,-102,-95,-93,-102,-108,120.5,33,14496,-10993,"2016-09-19 14:39:13.966","yaw 50 final4"
