"id","Longitude","Latitude","Altitude","VelocityX","VelocityY","VelocityZ","Wifi1","Wifi2","Wifi3","Wifi4","Wifi5","Wifi6","Wifi7","Wifi8","DroneHeading","Battery","Voltage","Current","Date","Method","VelocitySolid","TimeDiff","TimeDiffValue","Power","Velocity","Mean"
285,151.226757636866,-33.9311532942366,9.69999980926514,0,0,0,0,0,0,0,0,0,0,0,100.1,0,0,0,2016-11-16 14:21:40,"speed 1 -1",0,0,0,0,0,137.2205311875
286,151.226757697228,-33.9311532534995,9.69999980926514,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,2016-11-16 14:21:40,"speed 1 -1",0,0.0900001525878906,0.0900001525878906,0,0,137.2205311875
287,151.226757743779,-33.931153089197,9.69999980926514,0,0,0,0,0,0,0,0,0,0,0,100.1,0,0,0,2016-11-16 14:21:40,"speed 1 -1",0,0.176000118255615,0.176000118255615,0,0,137.2205311875
288,151.226757785657,-33.9311528570398,9.69999980926514,0,0,0,0,0,0,0,0,0,0,0,100.2,0,0,0,2016-11-16 14:21:40,"speed 1 -1",0,0.277000188827515,0.277000188827515,0,0,137.2205311875
289,151.226757895398,-33.9311527177399,9.69999980926514,0,0,0,0,0,0,0,0,0,0,0,100.3,0,0,0,2016-11-16 14:21:40,"speed 1 -1",0,0.380000114440918,0.380000114440918,0,0,137.2205311875
290,151.226757933688,-33.9311526918444,9.69999980926514,0,0,0,-100,-101,-95,-100,-101,-97,-102,-108,100.5,0,0,0,2016-11-16 14:21:40,"speed 1 -1",0,0.476999998092651,0.476999998092651,0,0,137.2205311875
291,151.226757944392,-33.9311524005643,9.69999980926514,0,0,0,-100,-101,-95,-100,-101,-97,-102,-108,100.6,93,15794,-9034,2016-11-16 14:21:40,"speed 1 -1",0,0.578000068664551,0.578000068664551,142.682996,0,137.2205311875
292,151.226757950111,-33.931152422755,9.69999980926514,0,0,0,-100,-101,-95,-100,-101,-97,-102,-108,100.7,93,15794,-9034,2016-11-16 14:21:41,"speed 1 -1",0,0.684000015258789,0.684000015258789,142.682996,0,137.2205311875
293,151.226757906073,-33.9311523416324,9.69999980926514,0,0,0,-100,-101,-95,-100,-101,-97,-102,-108,100.7,93,15794,-9034,2016-11-16 14:21:41,"speed 1 -1",0,0.778000116348267,0.778000116348267,142.682996,0,137.2205311875
294,151.226757915033,-33.9311522993445,9.69999980926514,0,0,0,-100,-101,-95,-100,-101,-97,-102,-108,100.8,93,15794,-9034,2016-11-16 14:21:41,"speed 1 -1",0,0.878000020980835,0.878000020980835,142.682996,0,137.2205311875
295,151.226757946383,-33.9311523075472,9.69999980926514,0,0,0,-100,-101,-95,-100,-101,-97,-102,-108,101,93,15794,-9034,2016-11-16 14:21:41,"speed 1 -1",0,0.985000133514404,0.985000133514404,142.682996,0,137.2205311875
304,151.226757528427,-33.9311528120245,9.69999980926514,0,0,0,-100,-101,-100,-100,-100,-94,-102,-108,93.4,93,15725,-10168,2016-11-16 14:21:42,"speed 1 -1",0,1.87900018692017,1.87900018692017,159.8918,0,137.2205311875
434,151.226857681099,-33.9311620637322,10,0,0,0,-95,-94,-63,-101,-100,-97,-101,-108,101.5,92,15718,-10043,2016-11-16 14:21:55,"speed 1 -1",0,14.9150002002716,14.9150002002716,157.855874,0,137.2205311875
856,151.226775357414,-33.9311482996658,9.80000019073486,0,0,0,-95,-102,-94,-94,-93,-95,-101,-108,100.3,85,15500,-10383,2016-11-16 14:23:56,"speed 1 -2",0,135.924000024796,135.924000024796,160.9365,0,137.2205311875
860,151.226775504045,-33.9311482708816,9.80000019073486,0,0,0,-95,-102,-94,-94,-93,-95,-101,-108,100.7,85,15500,-10383,2016-11-16 14:23:56,"speed 1 -2",0,136.317000150681,136.317000150681,160.9365,0,137.2205311875
862,151.226775429103,-33.9311481757985,9.80000019073486,0,0,0,-95,-102,-94,-94,-93,-95,-101,-108,100.5,85,15500,-10383,2016-11-16 14:23:56,"speed 1 -2",0,136.518000125885,136.518000125885,160.9365,0,137.2205311875
863,151.226775414815,-33.9311482005108,9.80000019073486,0,0,0,-94,-96,-101,-100,-101,-87,-102,-108,100.5,85,15519,-9855,2016-11-16 14:23:57,"speed 1 -2",0,136.618000030518,136.618000030518,152.939745,0,137.2205311875
864,151.226775433274,-33.9311481397612,9.80000019073486,0,0,0,-94,-96,-101,-100,-101,-87,-102,-108,100.7,85,15519,-9855,2016-11-16 14:23:57,"speed 1 -2",0,136.718000173569,136.718000173569,152.939745,0,137.2205311875
865,151.22677542423,-33.9311481541921,9.80000019073486,0,0,0,-94,-96,-101,-100,-101,-87,-102,-108,100.7,85,15519,-9855,2016-11-16 14:23:57,"speed 1 -2",0,136.818000078201,136.818000078201,152.939745,0,137.2205311875
866,151.226775418256,-33.9311481723147,9.80000019073486,0,0,0,-94,-96,-101,-100,-101,-87,-102,-108,100.7,85,15519,-9855,2016-11-16 14:23:57,"speed 1 -2",0,136.919000148773,136.919000148773,152.939745,0,137.2205311875
868,151.226775431844,-33.9311480428038,9.89999961853027,0,0,0,-94,-96,-101,-100,-101,-87,-102,-108,100.4,85,15519,-9855,2016-11-16 14:23:57,"speed 1 -2",0,137.124000072479,137.124000072479,152.939745,0,137.2205311875
